id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,related_events,match_id,possession_team_id,team_id,player_id,counterpress
dd767ab5-70fd-444f-a90a-cb0fab619604,242,1,00:06:10.045,6,10,Dribbled Past,13,Spain,From Counter,Albania,Kristjan Asllani,Left Defensive Midfield,"[29.5, 16.2]",0.0,"['075c9867-970c-40f4-92c0-be505a4ca210', '256c51ef-9aed-4003-b6a0-6967c6eeb82c', 'a492a53f-f475-4ca4-8331-5481d9eca0ff']",3930179,772,906,57303,True
23932bef-f94f-4741-b68f-88cfbf3e843c,471,1,00:11:05.453,11,5,Dribbled Past,20,Spain,Regular Play,Albania,Mario Mitaj,Left Back,"[12.9, 3.5]",0.0,"['249c70a0-57f5-4056-b646-5d5064060316', '9002715f-e613-4e56-835b-d67709520864', 'ec3586b4-03d9-433b-b81b-c67ea3b3e4d6']",3930179,772,906,49097,
a5cb4515-301d-4a67-aca7-6c7e74357600,596,1,00:15:49.068,15,49,Dribbled Past,28,Albania,Regular Play,Spain,Martín Zubimendi Ibáñez,Right Defensive Midfield,"[65.4, 4.8]",0.0,"['81e76808-dca1-40ef-b722-e58de982e8c6', 'b9b4febe-bc6f-4411-8284-2cbaafa88d8b']",3930179,906,772,24921,True
3793eb84-99cc-469b-a417-46530c215953,600,1,00:15:49.566,15,49,Dribbled Past,28,Albania,Regular Play,Spain,Mikel Merino Zazón,Left Defensive Midfield,"[67.2, 11.4]",0.0,"['5ffc23fa-8622-49a3-88a9-4b45e6af1ab9', '754eb09a-0a5c-410c-b4ef-d914f4a7c720']",3930179,906,772,3042,True
fe7c4d97-ae7b-4a54-a327-1d4626993fb4,853,1,00:20:45.696,20,45,Dribbled Past,36,Albania,Regular Play,Spain,Daniel Vivian Moreno,Right Center Back,"[68.0, 48.5]",0.0,"['14857710-a35f-46a3-ad72-82f7ba56418a', '31f6a87c-9bc0-4f27-a440-2938312fa1df', 'fe087629-a7ed-47d8-92da-fb5abdd0940c']",3930179,906,772,41542,
9098c554-5138-4b27-86af-2d5bfd9efa4c,939,1,00:23:11.982,23,11,Dribbled Past,41,Albania,From Free Kick,Spain,Martín Zubimendi Ibáñez,Right Defensive Midfield,"[47.1, 74.0]",0.0,"['1d7ca789-fc2c-4f0a-a05d-93df7353e7b6', 'e98df4e6-ee47-4581-ac00-d7d09b4ef038']",3930179,906,772,24921,
783cfcde-5153-4a4f-b7b7-a745a50cb513,1890,2,00:02:17.320,47,17,Dribbled Past,78,Albania,Regular Play,Spain,José Luis Sanmartín Mato,Center Forward,"[71.9, 57.6]",0.0,"['219fe416-66a1-4653-a398-08c41a92f4d0', '2a983543-e9b5-49ff-ad4f-7c6d38bf1bcf', 'e650d838-ef71-4d8d-99a9-17a92541babc']",3930179,906,772,3265,True
1d95e160-e007-4da1-b402-2300d272a680,1944,2,00:03:09.931,48,9,Dribbled Past,82,Albania,From Free Kick,Spain,Daniel Olmo Carvajal,Center Attacking Midfield,"[55.9, 52.9]",0.0,"['7ed1b62b-8d4e-4f93-a9f9-33d079fb54b9', 'fcbd417f-aa7b-4004-956b-8a4262a55bab']",3930179,906,772,16532,
78cfc884-3dd8-44a1-987f-6513fce84da6,2392,2,00:11:10.181,56,10,Dribbled Past,91,Spain,Regular Play,Albania,Qazim Laçi,Center Attacking Midfield,"[57.7, 76.3]",0.0,"['3fa714ea-55a6-4dcb-b2d5-e42afad63b5e', 'c45cac9b-9364-4e0b-99cd-a56b89596a5b']",3930179,772,906,7531,
71bc9a67-60f3-45ff-bc89-be499eef7577,2876,2,00:23:40.448,68,40,Dribbled Past,109,Albania,Regular Play,Spain,Fermin Lopez Marin,Center Attacking Midfield,"[57.3, 30.8]",0.0,"['0ca090dd-b9a1-4f01-a7bd-094cbdcc1a99', '955811ce-d6a2-4784-9675-975fd12f7494']",3930179,906,772,143864,True
db5022af-2591-4d6f-9cae-99b18db21293,2973,2,00:27:14.098,72,14,Dribbled Past,114,Spain,From Throw In,Albania,Mario Mitaj,Left Back,"[7.8, 12.1]",0.0,"['7d422d64-96c2-4e2f-9876-eee6dc7e4cf1', '989c625c-b21d-452d-8f17-1496aa137c64', 'cf1c00fa-3075-4528-a43f-6d6ee6a9d946']",3930179,772,906,49097,
