id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,duration,match_id,substitution_outcome,substitution_replacement,possession_team_id,team_id,player_id,substitution_outcome_id,substitution_replacement_id,off_camera
987a980d-5e06-4474-9277-e2196951b827,2408,2,00:26:05.487,71,5,Substitution,122,Netherlands,Regular Play,Netherlands,Donyell Malen,Right Wing,0.0,3930180,Tactical,Wout Weghorst,941,941,15582,103,7829,
39a4aaa0-ded0-4a3a-ad94-def1206a1faa,2582,2,00:32:49.256,77,49,Substitution,129,Netherlands,From Free Kick,Austria,Marko Arnautović,Center Forward,0.0,3930180,Tactical,Michael Gregoritsch,941,915,3325,103,8309,
c5d9f1db-9104-4e44-b7ae-1b30e06e1f28,3039,2,00:46:12.359,91,12,Substitution,155,Austria,From Keeper,Austria,Romano Schmid,Right Wing,0.0,3930180,Tactical,Andreas Weimann,915,915,8784,103,4813,
e3e9b6ec-8f95-4bcf-99f3-0d0db36ff33d,2475,2,00:08:26.874,53,26,Substitution,76,Denmark,From Goal Kick,England,Trent Alexander-Arnold,Right Defensive Midfield,0.0,3930171,Tactical,Conor Gallagher,776,768,3664,103,29399,
f6a9baa2-71b0-4e6a-abc5-63d58e331a97,2560,2,00:11:13.745,56,13,Substitution,78,England,From Throw In,Denmark,Victor Bernth Kristansen,Left Wing Back,0.0,3930171,Tactical,Alexander Hartmann Bah,768,776,60343,103,24547,
8d5e674d-e5df-42a0-9ddb-42c10a6d79b2,2561,2,00:11:17.890,56,17,Substitution,78,England,From Throw In,Denmark,Jonas Older Wind,Left Wing,0.0,3930171,Tactical,Mikkel Damsgaard,768,776,21261,103,24443,
300aa96a-f6fb-496f-9200-e43ba42c7eca,2979,2,00:21:22.069,66,22,Substitution,95,England,Regular Play,Denmark,Rasmus Winther Højlund,Center Forward,0.0,3930171,Tactical,Yussuf Yurary Poulsen,768,776,51672,103,5536,
6ef4f4d8-b1c2-41c9-a153-5f3611756bdd,3040,2,00:23:08.648,68,8,Substitution,99,Denmark,Regular Play,England,Phil Foden,Left Wing,0.0,3930171,Tactical,Jarrod Bowen,776,768,4354,103,9640,
ee6017ca-82fb-4836-bf10-ba53a7f7f9c2,3041,2,00:23:33.674,68,33,Substitution,99,Denmark,Regular Play,England,Harry Kane,Center Forward,0.0,3930171,Tactical,Ollie Watkins,776,768,10955,103,4760,
ad6eba94-47ce-4c20-8d96-3b6769b49be0,3042,2,00:23:55.193,68,55,Substitution,99,Denmark,Regular Play,England,Bukayo Saka,Right Wing,0.0,3930171,Tactical,Eberechi Eze,776,768,22084,103,9000,
