id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,under_pressure,related_events,match_id,dribble_outcome,possession_team_id,team_id,player_id,dribble_nutmeg,dribble_overrun,out,dribble_no_touch
dc031a7b-b486-4cdc-a8e0-6158d9dd09da,1194,1,00:26:28.880,26,28,Dribble,36,Portugal,From Free Kick,Portugal,Rafael Alexandre Conceição Leão,Left Midfield,"[115.2, 19.1]",0.0,True,['9c350b16-a31d-4d2f-9574-59de204f1812'],3942349,Complete,780,780,18360,,,,
8954dc38-6082-43ed-b9bd-58bc59f7f51c,1309,1,00:29:38.933,29,38,Dribble,40,France,Regular Play,France,Kylian Mbappé Lottin,Left Center Forward,"[102.5, 2.6]",0.0,True,"['356f0cd5-1184-4678-a425-15a4935c9e57', 'fbfb131b-a0d7-453d-be6b-3b70ec4ca735']",3942349,Incomplete,771,771,3009,,,,
e1620fa8-af44-438a-98c9-85d2f96d503f,1327,1,00:30:09.588,30,9,Dribble,41,France,From Throw In,France,Randal Kolo Muani,Right Center Forward,"[99.7, 43.6]",0.0,True,['5b290e7c-4185-46e8-9ba1-9f563190251b'],3942349,Incomplete,771,771,22097,,,,
acd929a3-6ccf-49a0-b8f5-855a37ade546,1402,1,00:31:37.385,31,37,Dribble,44,Portugal,From Free Kick,Portugal,Nuno Mendes,Left Back,"[85.3, 3.3]",0.0,True,['b556ee9c-ab2d-4c66-81ef-9bf52aea5470'],3942349,Incomplete,780,780,41092,,,,
a40438d2-c032-4572-8c13-b97c4c987cf1,1527,1,00:34:24.639,34,24,Dribble,49,Portugal,Regular Play,Portugal,Nuno Mendes,Left Back,"[15.9, 3.1]",0.0,True,['1d882283-24dd-4326-a039-eccd2c137f30'],3942349,Incomplete,780,780,41092,,,,
2cb82ed4-df4f-4865-ae41-0198a3e71066,1793,1,00:40:19.621,40,19,Dribble,58,Portugal,Regular Play,France,Randal Kolo Muani,Right Center Forward,"[27.9, 55.3]",0.0,True,['6b608c0f-4b75-4b6c-ab10-f0e6d32acfe1'],3942349,Incomplete,780,771,22097,,,,
b4b7f33f-28bf-486d-8e51-a1de22ff7557,1867,1,00:43:31.417,43,31,Dribble,64,Portugal,Regular Play,Portugal,Bruno Miguel Borges Fernandes,Center Attacking Midfield,"[63.5, 4.8]",0.0,True,['783b3d23-b701-424d-838f-ae267123301e'],3942349,Incomplete,780,780,5204,,,,
0546e1d2-14c9-430a-99ce-1d72f01fc0b1,2240,2,00:04:41.399,49,41,Dribble,75,Portugal,From Throw In,Portugal,Nuno Mendes,Left Back,"[91.6, 4.4]",0.0,True,"['0762016c-827c-47cb-94e3-6b97f2495ebf', '7e699ff2-5266-4939-9948-1a36d16ffb53']",3942349,Complete,780,780,41092,,,,
9c48847d-a245-42b6-b221-b3ac81841368,2258,2,00:05:11.641,50,11,Dribble,77,France,From Free Kick,France,Kylian Mbappé Lottin,Left Center Forward,"[97.7, 18.0]",0.0,True,['0fb82a28-b62f-44c7-99c5-c6edc0464f35'],3942349,Incomplete,771,771,3009,,,,
40d81c35-6e2a-495c-bb60-865eb020247c,2286,2,00:05:32.827,50,32,Dribble,77,France,From Free Kick,Portugal,Cristiano Ronaldo dos Santos Aveiro,Center Forward,"[41.4, 35.4]",0.0,True,"['379c99e7-6650-4df5-96bd-6c9c3be95250', '3ef8711a-cfe2-44a6-9056-ab845cf6753a']",3942349,Complete,771,780,5207,True,True,,
