id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,related_events,match_id,interception_outcome,possession_team_id,team_id,player_id,counterpress,under_pressure
ec50f330-e838-4dd4-ad62-5c15024eef26,2617,2,00:25:22.033,70,22,Interception,112,England,From Throw In,Spain,Marc Cucurella Saseta,Left Back,"[26.4, 18.3]",0.0,['c1c244bc-458d-455e-b8bc-375427cf4e44'],3943043,Lost In Play,768,772,17620,,
3f82f1f5-bd22-4049-9f86-99acf49619e6,667,1,00:17:54.514,17,54,Interception,27,Spain,From Throw In,France,Jules Koundé,Right Back,"[15.9, 60.9]",0.0,"['646710ce-0a74-442f-91bc-0655f5998fa9', '933dd136-0b4c-4555-adef-6a540643c122']",3942752,Success In Play,772,771,4445,,True
20ab178c-e4dc-4e33-9693-c8d4395f02c0,813,1,00:23:16.890,23,16,Interception,37,Spain,Regular Play,France,William Saliba,Left Center Back,"[15.0, 34.8]",0.0,['2fe187f6-e040-4c36-b0e9-3275e52286ab'],3942752,Lost In Play,772,771,17592,,
efe52c1e-6ebb-483e-9a6d-708ac2967d49,851,1,00:23:53.249,23,53,Interception,39,Spain,Regular Play,France,Jules Koundé,Right Back,"[24.8, 65.2]",0.0,['34689d37-00db-47cf-9bfe-1e61a5997b15'],3942752,Lost Out,772,771,4445,,
7edcfe97-b3a4-492c-889a-2e054ca3fd27,1488,1,00:44:09.122,44,9,Interception,64,Spain,Regular Play,France,N'Golo Kanté,Right Center Midfield,"[82.6, 65.1]",0.0,['c7841448-1449-4bf7-a6ab-d2d0536cdfd7'],3942752,Lost Out,772,771,3961,,
ddcaca1b-5efc-41d6-8989-e694c63e6e02,1823,2,00:05:59.449,50,59,Interception,80,France,From Throw In,Spain,Rodrigo Hernández Cascante,Right Defensive Midfield,"[46.3, 7.1]",0.0,['e59768cf-747a-44fa-8718-1f714757ffb6'],3942752,Won,771,772,6765,,
69bc9f6d-51a0-46f7-9dec-232409a3ce37,2122,2,00:15:30.864,60,30,Interception,99,Spain,From Free Kick,Spain,Marc Cucurella Saseta,Left Back,"[63.9, 6.4]",0.0,"['7863e47f-53ea-417b-b79e-15b23c01b519', '9777d327-c4fc-4b4c-b41e-a6d0663e3e48']",3942752,Lost In Play,772,772,17620,,True
b298a52b-aff6-4a4d-94c3-66b9334acfc4,2186,2,00:18:04.888,63,4,Interception,103,France,Regular Play,Spain,Nicholas Williams Arthuer,Left Wing,"[105.3, 16.8]",0.0,['cb7a4746-f950-4429-a5a8-c65a71df070b'],3942752,Lost In Play,771,772,68574,,
54f4e918-c11e-4079-b306-8ce6225b8212,153,1,00:02:55.485,2,55,Interception,7,Turkey,Regular Play,Turkey,Hakan Çalhanoğlu,Left Defensive Midfield,"[29.3, 35.7]",0.0,['55574d71-b790-462f-89cb-aa578a0bd678'],3942382,Won,909,909,7039,True,
5c4ca3b1-4fe5-45cd-8af0-b81f08950677,266,1,00:04:41.985,4,41,Interception,10,Turkey,From Throw In,Turkey,Arda Güler,Right Wing,"[81.1, 71.0]",0.0,['da964343-eaae-481f-89f9-c13ece3a68d4'],3942382,Won,909,909,116587,True,
