id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,location,duration,match_id,possession_team_id,team_id,off_camera
e48dd456-290d-4b3a-ad51-4194b8c6210d,699,1,00:23:35.255,23,35,Referee Ball-Drop,29,Netherlands,Other,Netherlands,"[16.0, 6.7]",0.0,3942819,941,941,
10aab2c1-50bd-4664-8713-13db076d2679,700,1,00:23:35.529,23,35,Referee Ball-Drop,30,England,Other,England,"[104.1, 73.4]",0.0,3942819,768,768,
4cde14f5-91ed-4bf3-bb18-de8adc262fb8,1210,1,00:32:38.264,32,38,Referee Ball-Drop,55,England,Other,England,"[109.0, 37.0]",0.0,3943043,768,768,True
08866082-fdf5-475c-87f1-662278a1cc7c,1211,1,00:32:39.893,32,39,Referee Ball-Drop,56,Spain,Other,Spain,"[11.1, 43.1]",0.0,3943043,772,772,True
75a180d1-ec2a-4108-ab59-44ebdc435fce,2021,2,00:12:33.284,57,33,Referee Ball-Drop,95,Spain,Other,Spain,"[20.6, 63.3]",0.0,3942752,772,772,
24c46d66-c8bc-4956-b380-69cbd88098fa,2025,2,00:13:17.883,58,17,Referee Ball-Drop,96,France,Other,France,"[105.0, 40.8]",0.0,3942752,771,771,
f7679c14-b9b5-4bce-9c1e-01ca15971a01,2026,2,00:13:18.119,58,18,Referee Ball-Drop,97,Spain,Other,Spain,"[15.1, 39.3]",0.0,3942752,772,772,
74a4f024-166f-4541-b386-2dd0c1ad16c3,2240,2,00:13:30.211,58,30,Referee Ball-Drop,83,Turkey,Other,Turkey,"[14.6, 41.7]",0.0,3942382,909,909,
df31d217-4f5a-4045-9c9b-f5e45affbb94,2241,2,00:13:31.083,58,31,Referee Ball-Drop,84,Netherlands,Other,Netherlands,"[105.5, 38.4]",0.0,3942382,941,941,
f53ca1d6-e40e-4a4a-bf3e-b9b1de0f11e5,1087,1,00:23:28.541,23,28,Referee Ball-Drop,32,France,Other,France,"[20.3, 22.0]",0.0,3942349,771,771,True
7cc4c49e-0f79-400b-a60d-91f5304b6f32,1088,1,00:23:29.093,23,29,Referee Ball-Drop,33,Portugal,Other,Portugal,"[99.8, 58.1]",0.0,3942349,780,780,True
a8b20b6d-9ead-4055-a505-ea6056518fa7,2454,2,00:11:10.106,56,10,Referee Ball-Drop,86,France,Other,France,"[84.1, 53.8]",0.0,3942349,771,771,True
30a5197f-e64a-4c7c-8f83-efb6307a6d86,2455,2,00:11:12.814,56,12,Referee Ball-Drop,87,Portugal,Other,Portugal,"[34.8, 26.6]",0.0,3942349,780,780,True
65f527bb-3fd9-4d72-8723-a42590823a43,2393,2,00:25:22.388,70,22,Referee Ball-Drop,120,Netherlands,Other,Netherlands,"[50.9, 34.2]",0.0,3930180,941,941,True
0383425f-1728-49f8-9b2d-dc7114c3a7d5,2394,2,00:25:22.472,70,22,Referee Ball-Drop,121,Austria,Other,Austria,"[69.2, 45.9]",0.0,3930180,915,915,
ea8064ee-817d-4953-9d40-fc04c99edf38,2390,2,00:10:45.527,55,45,Referee Ball-Drop,81,Switzerland,Other,Switzerland,"[57.6, 31.8]",0.0,3942227,773,773,
f7f8688b-a234-4fe2-a32c-1d3f2f0fcb7c,2391,2,00:10:45.637,55,45,Referee Ball-Drop,82,England,Other,England,"[62.5, 48.3]",0.0,3942227,768,768,
b63a6498-708a-4c6a-bd65-de68658412cc,4276,4,00:10:58.522,115,58,Referee Ball-Drop,200,Germany,Other,Germany,"[10.3, 24.6]",0.0,3942226,770,770,
a665499e-1041-4da8-b469-29a573310ba2,88,1,00:02:34.389,2,34,Referee Ball-Drop,7,Ukraine,Other,Ukraine,"[14.2, 41.2]",0.0,3938645,911,911,
b36fd2fd-09fb-4960-b402-ca3d24a6d8ef,89,1,00:02:34.923,2,34,Referee Ball-Drop,8,Belgium,Other,Belgium,"[105.9, 38.9]",0.0,3938645,782,782,
