id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,duration,match_id,possession_team_id,team_id,player_id,injury_stoppage_in_chain,under_pressure,related_events
09ceab6f-a849-441c-b481-e2cd163b18ae,3100,2,00:25:56.757,70,56,Injury Stoppage,102,Belgium,Regular Play,Belgium,Jan Vertonghen,Left Center Back,0.0,3941019,782,782,3077,True,,
b2cb456b-c9b6-48e7-86e4-b9f7904a236a,3813,2,00:44:41.746,89,41,Injury Stoppage,129,Belgium,From Free Kick,Belgium,Jan Vertonghen,Left Center Back,0.0,3941019,782,782,3077,,,
862c2b44-62a0-4a51-8822-43960235de4d,658,1,00:13:19.175,13,19,Injury Stoppage,19,Spain,From Corner,Spain,Robin Aime Robert Le Normand,Right Center Back,0.0,3941018,772,772,22128,,,
abd8f8c4-a419-4e93-b31f-d85213511dd7,1703,1,00:39:24.550,39,24,Injury Stoppage,64,Spain,Regular Play,Spain,Robin Aime Robert Le Normand,Right Center Back,0.0,3941018,772,772,22128,,,
0c9ce47c-4f2e-409f-813f-367cb5538eab,1704,1,00:39:31.717,39,31,Injury Stoppage,64,Spain,Regular Play,Georgia,Otar Kiteishvili,Center Defensive Midfield,0.0,3941018,772,2138,11335,,,
6fc6b026-4daa-4275-a88a-2ae2b9ac7c31,3205,2,00:28:55.281,73,55,Injury Stoppage,114,Spain,Regular Play,Georgia,Giorgi Gvelesiani,Right Center Back,0.0,3941018,772,2138,398886,,,
2a7e8068-c544-449a-af55-f607ae0c6561,3255,2,00:30:08.022,75,8,Injury Stoppage,116,Spain,Regular Play,Georgia,Georges Mikautadze,Right Center Forward,0.0,3941018,772,2138,33234,,,
9a629046-31f5-4355-9fc2-a519c3e4804a,853,1,00:19:43.387,19,43,Injury Stoppage,27,Slovakia,Regular Play,Slovakia,Juraj Kucka,Right Center Midfield,0.0,3941017,908,908,10919,,,
55491a3a-9f63-4806-9852-086e7a260d7f,854,1,00:19:43.870,19,43,Injury Stoppage,27,Slovakia,Regular Play,England,Declan Rice,Left Defensive Midfield,0.0,3941017,908,768,3943,,,
c6bb0894-b05b-4144-8bde-30d067c37d19,1067,1,00:26:06.991,26,6,Injury Stoppage,33,Slovakia,From Goal Kick,England,Marc Guehi,Left Center Back,0.0,3941017,908,768,34526,,,
34442695-6420-48ff-97bb-b515770a8e53,1560,1,00:38:36.786,38,36,Injury Stoppage,51,England,From Free Kick,England,Kyle Walker,Right Back,0.0,3941017,768,768,3205,True,,
cdda6b3f-e3ad-4e92-90e3-fd4ed416c841,1561,1,00:38:40.057,38,40,Injury Stoppage,51,England,From Free Kick,Slovakia,Denis Vavro,Right Center Back,0.0,3941017,768,908,16298,,,
f1b1b930-b8fc-4e69-a8a0-9ff26475fc73,2485,2,00:17:20.485,62,20,Injury Stoppage,91,England,Regular Play,England,Kieran Trippier,Left Back,0.0,3941017,768,768,3308,,,
4f4e6bb8-a134-4c17-b88a-113bdf5a2f66,2880,2,00:27:56.695,72,56,Injury Stoppage,102,Slovakia,Regular Play,Slovakia,Tomáš Suslov,Left Wing,0.0,3941017,908,908,35653,,,
546629ab-44fd-43ff-948e-96f2b43a78a5,159,1,00:04:51.927,4,51,Injury Stoppage,8,Denmark,From Free Kick,Serbia,Aleksandar Mitrović,Center Forward,0.0,3930182,776,786,4269,,,
37023802-9db8-4a25-afb1-9a02c8eb2fad,2374,2,00:08:03.055,53,3,Injury Stoppage,93,Serbia,Regular Play,Serbia,Luka Jović,Left Wing,0.0,3930182,786,786,6319,,,
ec20614d-3fd1-4c76-9949-2c7c6c347c2b,3340,2,00:32:55.175,77,55,Injury Stoppage,133,Serbia,From Free Kick,Denmark,Andreas Christensen,Left Center Back,0.0,3930182,786,776,3959,,,
fc357fed-850c-49d6-bf46-36849fae60db,3342,2,00:32:58.328,77,58,Injury Stoppage,133,Serbia,From Free Kick,Serbia,Aleksandar Mitrović,Right Center Forward,0.0,3930182,786,786,4269,True,,
84cd5eaa-fbe3-4521-8ec8-8959d749d4ed,2818,2,00:22:13.196,67,13,Injury Stoppage,104,Albania,From Free Kick,Spain,Daniel Vivian Moreno,Right Center Back,0.0,3930179,906,772,41542,,,
cbc50a0d-1641-4315-b5a4-cc6e134df94b,2819,2,00:22:14.763,67,14,Injury Stoppage,104,Albania,From Free Kick,Albania,Armando Broja,Center Forward,0.0,3930179,906,906,36885,True,,
53377579-c0d0-4a28-92b0-ec13e38e3ab6,1029,1,00:24:21.011,24,21,Injury Stoppage,46,Germany,From Goal Kick,Denmark,Andreas Christensen,Left Center Back,0.0,3940983,770,776,3959,,,
4c5586c1-7dcc-4ea0-88c7-b50948b945d8,1485,1,00:34:49.088,34,49,Injury Stoppage,59,Germany,From Throw In,Denmark,Kasper Schmeichel,Goalkeeper,0.0,3940983,770,776,3815,,,
8e42c57f-d0f8-4498-804c-79e3d1d9c3ec,1486,1,00:34:50.393,34,50,Injury Stoppage,59,Germany,From Throw In,Germany,Toni Kroos,Left Defensive Midfield,0.0,3940983,770,770,5574,True,,
d860c9a0-f7ad-4bd5-9e93-3f107e7b0912,2164,2,00:11:53.071,56,53,Injury Stoppage,95,Denmark,From Throw In,Germany,Robert Andrich,Right Defensive Midfield,0.0,3940983,776,770,9195,,,
5897d2cb-5505-4cd7-998c-9d001e4d1f81,529,1,00:12:08.172,12,8,Injury Stoppage,25,Switzerland,Regular Play,Switzerland,Ruben Vargas,Left Attacking Midfield,0.0,3940878,773,773,30401,,,
87e05f7a-da98-4444-a2e2-9d2652dd045c,530,1,00:12:10.252,12,10,Injury Stoppage,25,Switzerland,Regular Play,Italy,Gianluigi Donnarumma,Goalkeeper,0.0,3940878,773,914,7036,,,
54b12b5e-38d6-4f28-bac1-ec4e1a6ec251,573,1,00:14:14.806,14,14,Injury Stoppage,29,Switzerland,From Throw In,Italy,Gianluigi Donnarumma,Goalkeeper,0.0,3940878,773,914,7036,,,
b2195d1f-32b6-47b6-90d1-d8595b0ff9ca,1716,1,00:41:32.119,41,32,Injury Stoppage,63,Italy,From Throw In,Italy,Giovanni Di Lorenzo,Right Back,0.0,3940878,914,914,11514,,,
bb2b22b7-834c-4f77-86b5-f3ed8d9eb35f,1136,1,00:28:06.459,28,6,Injury Stoppage,47,Scotland,Regular Play,Hungary,András Schäfer,Right Defensive Midfield,0.0,3930177,942,916,42822,,,
fbf9b540-947f-4ac8-89fb-06fa9d7371fa,1138,1,00:28:08.547,28,8,Injury Stoppage,47,Scotland,Regular Play,Scotland,Grant Campbell Hanley,Center Back,0.0,3930177,942,942,9481,True,,
a9211d03-293e-42b2-bd77-d489f4b58d7f,2360,2,00:18:13.371,63,13,Injury Stoppage,102,Hungary,From Free Kick,Scotland,Anthony Ralston,Right Wing Back,0.0,3930177,916,942,22308,,,
4be60cf7-4850-4a0a-a5bc-870313f3e425,2506,2,00:22:54.839,67,54,Injury Stoppage,112,Hungary,From Free Kick,Hungary,Barnabás Varga,Center Forward,0.0,3930177,916,916,12921,,,
ff097974-0c75-414f-a59c-de776918862f,2507,2,00:23:03.239,68,3,Injury Stoppage,112,Hungary,From Free Kick,Scotland,Angus Gunn,Goalkeeper,0.0,3930177,916,942,22379,,,
c3ad2fab-365a-41ac-aab1-cf0fd302e9ca,2952,2,00:40:00.863,85,0,Injury Stoppage,130,Hungary,Regular Play,Hungary,Bendegúz Bolla,Right Wing Back,0.0,3930177,916,916,46789,,,
f97f8bc6-6cb1-41ef-997d-8989b853ddc8,2955,2,00:41:06.757,86,6,Injury Stoppage,130,Hungary,Regular Play,Scotland,Grant Campbell Hanley,Center Back,0.0,3930177,916,942,9481,,,
93313969-ed4d-4c13-beac-7d833e1706a4,3388,2,00:41:40.445,86,40,Injury Stoppage,110,France,From Throw In,France,Adrien Rabiot,Left Midfield,0.0,3930173,771,771,3026,,,
7f41be1d-4cfa-4809-91cf-56f8abb0b596,311,1,00:06:08.742,6,8,Injury Stoppage,13,Spain,Regular Play,Italy,Lorenzo Pellegrini,Left Wing,0.0,3930172,772,914,6963,,,
94ee082b-81af-4281-a322-b4b00ea7c52f,611,1,00:14:06.276,14,6,Injury Stoppage,23,Spain,Regular Play,Italy,Giovanni Di Lorenzo,Right Back,0.0,3930172,772,914,11514,,,
95e8fc52-6569-46dd-b301-734460fb2890,612,1,00:14:09.244,14,9,Injury Stoppage,23,Spain,Regular Play,Spain,Pedro González López,Center Attacking Midfield,0.0,3930172,772,772,30486,True,,
67780919-ade5-4790-852b-69a324e4c7fc,1433,1,00:30:38.958,30,38,Injury Stoppage,55,Italy,From Free Kick,Italy,Nicolò Barella,Left Center Midfield,0.0,3930172,914,914,8181,True,,
51b00ad5-8cd6-411c-8da3-e05084c29185,2037,2,00:00:17.414,45,17,Injury Stoppage,84,Spain,From Kick Off,Italy,Gianluigi Donnarumma,Goalkeeper,0.0,3930172,772,914,7036,,,
