id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,under_pressure,related_events,match_id,clearance_head,clearance_body_part,possession_team_id,team_id,player_id,out,clearance_right_foot,clearance_aerial_won,clearance_left_foot,clearance_other,off_camera
d33eeab1-91b2-4f9b-a7bd-08360aa04156,3460,2,00:37:15.462,82,15,Clearance,130,Italy,Regular Play,Switzerland,Manuel Obafemi Akanji,Center Back,"[12.7, 30.8]",0.0,True,['d35d4453-b8a3-4c7e-b531-f24a5f25ba59'],3940878,True,Head,914,773,5549,,,,,,
48f7f813-85aa-4637-a6fb-68fee6e2275a,3543,2,00:39:08.597,84,8,Clearance,135,Italy,From Goal Kick,Switzerland,Fabian Lukas Schär,Right Center Back,"[12.7, 46.2]",0.0,True,['8bee7508-f298-4f0e-b46b-c92da34c2d90'],3940878,,Left Foot,914,773,5537,,,,True,,
8bb4fb4c-527a-4a3e-ae6d-1f8995a5e4b0,3562,2,00:39:29.182,84,29,Clearance,135,Italy,From Goal Kick,Switzerland,Remo Freuler,Right Defensive Midfield,"[11.1, 41.1]",0.0,True,['936bcdc6-7a98-43cf-9841-9e8a1117ad36'],3940878,,Right Foot,914,773,6983,,True,,,,
4d27261d-6fc7-4c07-b3c4-bbc60048169d,3642,2,00:41:37.654,86,37,Clearance,139,Italy,Regular Play,Switzerland,Fabian Lukas Schär,Right Center Back,"[3.3, 48.7]",0.0,True,['e5404dc2-c255-4343-ada1-9b81dba3d45b'],3940878,True,Head,914,773,5537,,,,,,
a6402f67-0999-4b95-8e37-5909406ddaee,3805,2,00:45:29.234,90,29,Clearance,145,Italy,Regular Play,Switzerland,Leonidas Stergiou,Right Wing Back,"[21.2, 48.8]",0.0,True,['519b23ea-cc04-45c8-af69-e94bc12a045b'],3940878,True,Head,914,773,29227,,,,,,
fab8ba64-14d9-4596-9c2c-8e4c5e1dfe77,10,1,00:00:06.204,0,6,Clearance,2,Hungary,From Kick Off,Scotland,Jack Hendry,Right Center Back,"[22.2, 54.0]",0.0,True,['21b3d753-7870-4060-8b2a-dc54a63addd3'],3930177,True,Head,916,942,11116,,,,,,
f80ba784-b6b5-4ea3-a4f8-aef723e3a164,134,1,00:03:16.093,3,16,Clearance,8,Scotland,From Throw In,Hungary,Willi Orban,Center Back,"[63.2, 63.0]",0.0,True,['754c8984-3633-40e1-add7-e54e44b39b3d'],3930177,,Right Foot,942,916,8509,,True,,,,
514dd130-ddf4-4d9b-a19d-9d254c880611,224,1,00:04:36.215,4,36,Clearance,9,Scotland,From Throw In,Hungary,Endre Botka,Right Center Back,"[41.0, 68.3]",0.0,True,['949d31c7-1146-46bf-8694-6224b687f010'],3930177,,Right Foot,942,916,31887,True,True,,,,
0aefd6e3-78a7-4cf7-b6b2-f94c47191d4b,238,1,00:05:16.071,5,16,Clearance,11,Scotland,From Throw In,Hungary,Endre Botka,Right Center Back,"[24.1, 74.3]",0.0,True,"['5d9b070d-6849-4444-9166-56856ceac51e', '74767eb6-6206-4181-80cd-8e366b0b0a48']",3930177,True,Head,942,916,31887,,,True,,,
7b6c9e6a-8d19-41b8-94fa-1e6229faaccf,240,1,00:05:17.176,5,17,Clearance,11,Scotland,From Throw In,Hungary,Willi Orban,Center Back,"[15.8, 70.7]",0.0,True,['ce03d0c6-a241-4d16-9f91-5ffd5433fece'],3930177,,Right Foot,942,916,8509,,True,,,,
